,Values,
Row Labels,Count of genre,Average of time
Rock,137,4:07
Country,74,3:46
Rap,58,4:03
R&B,23,4:02
Latin,9,4:14
Pop,9,3:45
Electronica,4,4:30
Gospel,1,5:30
Jazz,1,7:50
Reggae,1,4:17
Grand Total,317,4:02
