,Store Number,City,2015 Sales,2015 Sales mean,County Number,Price Per Liter mean,2015 Volume Sold Liters mean,2015 Volume Sold Liters,Zip Code,2015 Profit Margin mean,2015 Sales Q1,First Date,Last Date
741,4563,IRETON,145.5,5.59615384615,2438.71,93.7965384615,84.0,19.6576739927,51027,31.2753846154,508.98,2015-01-05,2016-03-28
742,4565,SIOUX CITY,496.15,8.85982142857,5950.81,106.264464286,97.0,14.9406802721,51106,35.6564285714,1403.1,2015-01-15,2016-03-24
743,4566,CEDAR RAPIDS,757.68,4.3296,10539.77,60.2272571429,57.0,17.2368818531,52404,20.1352,2656.88,2015-01-15,2016-03-31
744,4568,SIOUX CITY,791.06,6.0386259542,11814.59,90.1877099237,97.0,17.5915149037,51108,30.1022137405,991.23,2015-02-03,2015-12-15
745,4569,SUTHERLAND,240.0,8.57142857143,3193.5,114.053571429,71.0,14.7637244898,51058,38.0835714286,675.24,2015-01-06,2016-03-15
746,4571,ALLISON,127.5,12.75,1376.64,137.664,12.0,12.9257142857,50602,45.918,541.32,2015-01-07,2016-03-30
747,4572,GRUNDY CENTER,419.02,4.81632183908,5254.75,60.3994252874,38.0,15.1046405862,50638,20.197816092,783.06,2015-01-06,2016-03-08
748,4573,HAMBURG,187.1,8.50454545455,2654.45,120.656818182,36.0,14.7214285714,51640,40.3118181818,509.76,2015-01-07,2016-03-15
749,4575,SLATER,330.44,6.11925925926,4132.2,76.5222222222,85.0,17.9945546737,50244,25.5585185185,1079.52,2015-01-08,2016-03-17
750,4576,ARNOLDS PARK,833.76,7.37840707965,11510.72,101.864778761,30.0,16.9739770333,51331,34.1655752212,1951.64,2015-03-24,2016-02-23
751,4577,WOODWARD,218.25,7.79464285714,2560.53,91.4475,25.0,13.5673469388,50276,30.7028571429,538.14,2015-01-06,2016-03-29
752,4578,FARMINGTON,149.54,6.50173913043,2063.89,89.7343478261,89.0,17.3989130435,52626,29.9308695652,744.15,2015-01-27,2016-02-09
753,4580,WASHINGTON,362.36,3.69755102041,4751.62,48.4859183673,92.0,19.5087530791,52353,16.1779591837,953.28,2015-01-06,2016-03-29
754,4582,SPIRIT LAKE,315.51,2.74356521739,4267.8,37.1113043478,30.0,18.19563147,51360,12.4170434783,730.89,2015-02-24,2016-03-29
755,4584,DUMONT,356.45,7.58404255319,3328.16,70.8119148936,12.0,14.3313576494,50602,23.8708510638,364.4,2015-01-05,2016-03-14
756,4585,FARLEY,205.5,9.34090909091,2030.4,92.2909090909,31.0,11.5813852814,52046,30.7854545455,418.2,2015-01-05,2016-03-14
757,4588,SIOUX CITY,1460.82,7.3041,26047.34,130.2367,97.0,20.7106221884,51103,43.44185,3684.28,2015-01-14,2016-03-30
758,4589,SIBLEY,392.22,4.085625,5082.68,52.9445833333,72.0,15.9841313112,51249,17.7054166667,1921.02,2015-01-08,2016-03-31
759,4590,CEDAR FALLS,230.4,8.86153846154,2834.86,109.033076923,7.0,13.3059569597,50613,36.71,942.48,2015-01-05,2016-03-28
760,4591,CLARION,92.4,9.24,1185.12,118.512,99.0,13.8183809524,50525,40.026,81.6,2015-01-16,2016-02-22
761,4592,EMMETSBURG,417.85,5.09573170732,4736.39,57.7608536585,74.0,14.3965505226,50536,19.3230487805,1580.94,2015-01-06,2016-03-15
762,4594,DES MOINES,369.02,4.44602409639,5405.53,65.1268674699,77.0,17.2800609943,50312,21.7651807229,470.59,2015-01-06,2016-03-22
763,4595,DES MOINES,298.9,4.52878787879,4187.69,63.4498484848,77.0,18.1656998557,50321,21.1921212121,1067.11,2015-02-10,2016-02-02
764,4596,DES MOINES,362.35,4.26294117647,5217.69,61.3845882353,77.0,17.4738187503,50317,20.4811764706,1105.62,2015-01-20,2016-01-12
765,4597,DES MOINES,683.75,4.49835526316,9467.18,62.2840789474,77.0,20.0001616355,50315,20.7892105263,2151.4,2015-01-13,2016-03-17
766,4598,DES MOINES,270.74,4.66793103448,4811.59,82.9584482759,77.0,20.3138861644,50317,27.6832758621,1418.85,2015-01-15,2016-03-10
767,4599,DES MOINES,648.93,4.50645833333,10102.94,70.1593055556,77.0,19.6661409089,50317,23.4163888889,2947.57,2015-01-20,2016-02-16
768,4600,DES MOINES,541.35,6.766875,6145.42,76.81775,77.0,14.7729598214,50317,25.675625,1286.43,2015-05-13,2016-03-09
769,4601,DES MOINES,295.53,3.78884615385,4157.68,53.3035897436,77.0,17.4406415038,50317,17.7773076923,905.03,2015-03-31,2016-03-29
770,4602,PACIFIC JUNCTION,660.16,6.73632653061,8963.81,91.4674489796,65.0,17.5826489694,51561,30.53,2119.86,2015-01-21,2016-03-08
771,4603,DES MOINES,276.25,4.84649122807,4377.87,76.8047368421,77.0,17.8305931495,50320,25.6721052632,682.26,2015-02-17,2016-03-29
