,Store Number,City,2015 Sales,2015 Sales mean,County Number,Price Per Liter mean,Zip Code,2015 Volume Sold Liters,2015 Volume Sold Liters mean,2015 Profit Margin mean,2015 Sales Q1,2016 Sales Q1,First Date,Last Date
53,2543,OTTUWMA,11181.58,15.089851552,90,2.9250514291,52501,5.23719298246,4136.87,5.58282051282,2132.37,4290.08,2015-01-05,2016-03-28
54,2544,MARSHALLTOWN,21102.83,24.2282778416,64,2.97325939417,50158,10.6289552239,8021.91,9.21,5115.86,3673.12,2015-01-07,2016-03-30
55,2545,IOWA CITY,8295.78,11.9021233859,52,3.08467055305,52245,4.44397417504,3097.6,4.44418938307,1248.51,823.08,2015-01-06,2016-03-29
56,2548,ALTOONA,17747.72,24.1465578231,77,3.34726728961,50009,11.4969251701,6623.22,9.01118367347,2610.96,2125.29,2015-01-07,2016-03-30
57,2549,INDIANOLA,11656.86,22.6787159533,91,2.818983803,50125,13.6979377432,5839.03,11.3599805447,3513.73,2910.91,2015-01-07,2016-03-30
58,2550,OSCEOLA,3309.77,9.42954415954,20,2.63133484828,50213,5.33310541311,1498.05,4.26794871795,755.78,1096.28,2015-01-05,2016-03-28
59,2551,CHARITON,5611.18,15.4153296703,59,2.93013478344,50049,8.14145604396,2362.04,6.48912087912,1186.5,685.08,2015-01-08,2016-03-31
60,2552,CEDAR RAPIDS,16792.0,17.0304259635,57,2.95066034387,52404,7.88861054767,7930.56,8.0431643002,3496.11,2657.62,2015-01-07,2016-03-30
61,2553,CRESTON,4599.9,16.973800738,88,2.75874945667,50801,9.35276752768,1885.08,6.95601476015,979.61,1081.12,2015-01-06,2016-03-29
62,2554,DAVENPORT,3889.38,20.0483505155,82,1.76694158076,52802,8.69917525773,2278.8,11.7463917526,790.74,3347.81,2015-01-06,2016-03-29
63,2555,KEOKUK,14103.07,25.9247610294,56,3.26169642857,52632,17.8185110294,5942.96,10.9245588235,2785.66,301.14,2015-01-05,2016-03-28
64,2556,ESTHERVILLE,7352.86,14.005447619,32,3.07005297768,51334,10.5483619048,3221.51,6.13620952381,1388.62,3072.71,2015-01-05,2016-03-28
65,2558,MOUNT PLEASANT,17914.04,42.9593285372,44,2.87731053994,52641,22.4801438849,6202.32,14.8736690647,9345.27,4786.32,2015-01-06,2016-03-29
66,2559,ALBIA,2610.75,19.3388888889,68,3.13313815403,52531,10.4368148148,879.0,6.51111111111,598.86,1859.9,2015-01-05,2016-03-28
67,2560,MARION,18204.54,20.7814383562,57,2.83131636158,52302,14.5269406393,8342.02,9.52285388128,3402.59,2300.62,2015-01-07,2016-03-30
68,2561,DES MOINES,24825.87,24.3869056974,77,3.48367375168,50321,13.0723084479,10648.53,10.4602455796,5128.92,2358.33,2015-01-05,2016-03-28
69,2562,FORT DODGE,7508.77,28.9913899614,94,2.09788100319,50501,27.8788030888,5348.2,20.6494208494,1091.93,945.91,2015-01-08,2016-03-31
70,2564,WATERLOO,8986.54,26.9866066066,7,2.53357136971,50701,15.9085585586,3981.03,11.955045045,1042.45,1496.3,2015-01-06,2016-03-29
71,2565,SPENCER,10753.43,10.3998355899,21,2.71207714231,51301,6.26882978723,5189.44,5.01880077369,2770.08,1214.49,2015-01-08,2016-03-31
72,2566,KNOXVILLE,4545.02,13.9846769231,63,2.73226474684,50138,8.27753846154,2175.55,6.694,720.07,2123.44,2015-01-06,2016-03-29
73,2567,DAVENPORT,6980.91,9.42093117409,82,2.47969920098,52806,5.15294197031,4066.4,5.48771929825,1029.81,3105.92,2015-01-07,2016-03-30
74,2568,CEDAR RAPIDS,4245.42,14.1043853821,57,1.98034370718,52402,6.54853820598,2456.08,8.15973421927,1154.16,3826.75,2015-01-08,2016-03-31
75,2569,CEDAR RAPIDS,9270.15,13.2241797432,57,2.59829294347,52402,8.06630527817,3607.84,5.14670470756,2073.78,3940.54,2015-01-07,2016-03-30
76,2571,WATERLOO,14145.12,28.29024,7,2.80250388933,50703,13.09758,5823.65,11.6473,2036.96,540.59,2015-01-05,2016-03-28
77,2572,CEDAR FALLS,16508.43,12.6890315142,7,3.11901081783,50613,5.33387394312,6080.74,4.67389700231,3684.98,1503.4,2015-01-08,2016-03-31
78,2573,MUSCATINE,20440.25,23.5486751152,70,3.90576465643,52761,10.4458870968,8191.67,9.4374078341,4950.27,2679.11,2015-01-07,2016-03-30
79,2575,WATERLOO,3651.2,14.6048,7,2.76444613757,50702,11.23636,1881.0,7.524,932.61,926.93,2015-01-05,2016-03-28
80,2576,STORM LAKE,7447.32,9.98300268097,11,2.95243278829,50588,3.69533512064,3346.65,4.48612600536,2298.69,2666.99,2015-01-06,2016-03-29
81,2578,CHARLES CITY,9923.18,25.3789769821,34,2.67722930644,50616,16.5191560102,5148.65,13.1679028133,1666.73,1331.24,2015-01-07,2016-03-30
82,2579,GRINNELL,4928.1,16.762244898,79,2.90882896016,50112,9.70639455782,1977.6,6.72653061224,718.57,3270.15,2015-01-06,2016-03-29
83,2582,MASON CITY,11455.92,17.9559874608,17,3.05670895276,50401,8.46678683386,5502.68,8.62489028213,1956.02,2409.32,2015-01-08,2016-03-31
84,2584,FORT MADISON,7656.0,15.5609756098,56,3.28083468248,52627,9.01851626016,3239.7,6.58475609756,1398.97,3150.2,2015-01-08,2016-03-31
85,2585,ALGONA,11750.9,22.4682600382,55,2.77353953408,50511,11.6054684512,5428.48,10.3795028681,1656.01,4703.28,2015-01-05,2016-03-28
86,2587,JOHNSTON,14262.32,11.8457807309,77,3.26474698337,50131,5.83986710963,5387.34,4.47453488372,1760.14,2819.82,2015-01-07,2016-03-30
87,2588,CEDAR RAPIDS,15577.25,22.6413517442,57,3.05502534482,52403,9.53953488372,5842.38,8.49183139535,3202.77,531.45,2015-01-08,2016-03-31
